date,borrower_id,income,expenses,loan_repayment,net_cashflow
2023-01-02,B001,1646.15,2484.06,1500.0,-2337.91
2023-01-09,B001,1139.99,2617.05,0.0,-1477.06
2023-01-16,B001,1644.09,2528.42,0.0,-884.33
2023-01-23,B001,1740.31,2642.09,0.0,-901.78
2023-01-30,B001,983.65,2839.66,0.0,-1856.01
2023-02-06,B001,1357.14,2473.53,1500.0,-2616.39
2023-02-13,B001,2026.48,2814.87,0.0,-788.38
2023-02-20,B001,2186.03,2800.26,0.0,-614.23
2023-02-27,B001,2609.89,2687.97,0.0,-78.08
2023-03-06,B001,2721.57,2570.09,1500.0,-1348.52
2023-03-13,B001,3618.77,2805.01,0.0,813.76
2023-03-20,B001,3966.83,2719.12,0.0,1247.71
2023-03-27,B001,4119.54,2834.9,0.0,1284.64
2023-04-03,B001,4779.59,2801.82,1500.0,477.77
2023-04-10,B001,4888.27,3034.46,0.0,1853.81
2023-04-17,B001,4753.35,2751.1,0.0,2002.25
2023-04-24,B001,5335.56,2623.57,0.0,2711.99
2023-05-01,B001,5098.64,2791.49,1500.0,807.15
2023-05-08,B001,5758.42,2782.7,0.0,2975.72
2023-05-15,B001,5538.04,2936.5,0.0,2601.53
2023-05-22,B001,5509.94,2838.88,0.0,2671.06
2023-05-29,B001,5334.49,2746.48,0.0,2588.02
2023-06-05,B001,5848.13,2890.42,1500.0,1457.72
2023-06-12,B001,5356.01,2469.55,0.0,2886.46
2023-06-19,B001,5182.75,2528.14,0.0,2654.61
2023-06-26,B001,5111.56,2461.01,0.0,2650.54
2023-07-03,B001,5288.18,2517.42,1500.0,1270.76
2023-07-10,B001,5161.62,2345.63,0.0,2815.99
2023-07-17,B001,5116.53,2624.35,0.0,2492.18
2023-07-24,B001,5082.77,2473.72,0.0,2609.05
2023-07-31,B001,5577.51,2265.77,0.0,3311.74
2023-08-07,B001,4813.51,2315.04,1500.0,998.47
2023-08-14,B001,4797.2,2497.32,0.0,2299.88
2023-08-21,B001,4731.41,2561.12,0.0,2170.29
2023-08-28,B001,5186.96,2722.42,0.0,2464.54
2023-09-04,B001,5361.21,2850.08,1500.0,1011.13
2023-09-11,B001,4993.77,2467.97,0.0,2525.8
2023-09-18,B001,4758.02,2253.03,0.0,2504.99
2023-09-25,B001,4713.92,2080.19,0.0,2633.73
2023-10-02,B001,5070.53,2441.61,1500.0,1128.92
2023-10-09,B001,4970.99,2283.87,0.0,2687.12
2023-10-16,B001,4740.15,2350.69,0.0,2389.45
2023-10-23,B001,4163.75,2331.09,0.0,1832.65
2023-10-30,B001,4179.37,2414.28,0.0,1765.09
2023-11-06,B001,3856.89,2610.19,1500.0,-253.3
2023-11-13,B001,3573.59,2490.93,0.0,1082.66
2023-11-20,B001,3439.59,2462.59,0.0,976.99
2023-11-27,B001,2911.21,2351.71,0.0,559.5
2023-12-04,B001,2722.3,2277.88,1500.0,-1055.57
2023-12-11,B001,2235.0,2479.19,0.0,-244.19
2023-12-18,B001,2031.93,2567.83,0.0,-535.9
2023-12-25,B001,1911.19,2865.19,0.0,-954.0
2024-01-01,B001,1117.59,2643.65,1500.0,-3026.06
2024-01-08,B001,1356.09,2795.27,0.0,-1439.19
2024-01-15,B001,1277.85,2596.03,0.0,-1318.18
2024-01-22,B001,1266.47,2515.2,0.0,-1248.73
2024-01-29,B001,1486.42,2568.85,0.0,-1082.43
2024-02-05,B001,2196.27,2623.84,1500.0,-1927.57
2024-02-12,B001,1728.38,3068.97,0.0,-1340.59
2024-02-19,B001,2571.39,2641.39,0.0,-70.0
2024-02-26,B001,2110.07,2902.86,0.0,-792.8
2024-03-04,B001,2877.02,2651.56,1500.0,-1274.55
2024-03-11,B001,3403.78,2933.92,0.0,469.85
2024-03-18,B001,3909.36,2856.28,0.0,1053.07
2024-03-25,B001,4313.1,2776.5,0.0,1536.59
2024-04-01,B001,4679.43,2792.43,1500.0,387.0
2024-04-08,B001,4643.4,2695.97,0.0,1947.43
2024-04-15,B001,4872.43,2853.91,0.0,2018.51
2024-04-22,B001,5482.33,2708.84,0.0,2773.48
2024-04-29,B001,5328.91,2580.76,0.0,2748.15
2024-05-06,B001,5112.18,2558.01,1500.0,1054.17
2024-05-13,B001,5213.03,2758.51,0.0,2454.52
2024-05-20,B001,5289.56,2950.48,0.0,2339.09
2024-05-27,B001,5687.92,2716.94,0.0,2970.98
2024-06-03,B001,5524.1,2653.13,1500.0,1370.97
2024-06-10,B001,5609.51,2690.74,0.0,2918.78
2024-06-17,B001,5183.07,2820.01,0.0,2363.07
2024-06-24,B001,5264.76,2632.91,0.0,2631.85
2024-07-01,B001,5316.17,2514.25,1500.0,1301.91
2024-07-08,B001,4959.18,2718.08,0.0,2241.1
2024-07-15,B001,5129.74,2593.39,0.0,2536.35
2024-07-22,B001,4754.95,2737.42,0.0,2017.53
2024-07-29,B001,4826.1,2513.87,0.0,2312.23
2024-08-05,B001,4820.91,2283.71,1500.0,1037.21
2024-08-12,B001,4592.12,2245.07,0.0,2347.05
2024-08-19,B001,5121.63,2683.04,0.0,2438.59
2024-08-26,B001,4861.35,2681.46,0.0,2179.89
2024-09-02,B001,5026.26,2386.07,1500.0,1140.2
2024-09-09,B001,5172.18,2348.33,0.0,2823.84
2024-09-16,B001,5144.03,2620.67,0.0,2523.35
2024-09-23,B001,5160.88,2233.94,0.0,2926.94
2024-09-30,B001,4845.81,2267.25,0.0,2578.56
2024-10-07,B001,4621.02,2502.31,1500.0,618.71
2024-10-14,B001,4553.29,2353.81,0.0,2199.48
2024-10-21,B001,3857.2,2422.14,0.0,1435.06
2024-10-28,B001,3675.59,2410.89,0.0,1264.7
2024-11-04,B001,3425.08,2500.93,1500.0,-575.86
2024-11-11,B001,3208.81,2678.5,0.0,530.31
2024-11-18,B001,3298.09,2499.97,0.0,798.12
2024-11-25,B001,2572.49,2603.65,0.0,-31.16
2024-12-02,B001,2405.18,2221.55,1500.0,-1316.37
2024-12-09,B001,2604.5,2544.83,0.0,59.67
2024-12-16,B001,1838.31,2449.41,0.0,-611.1
2024-12-23,B001,1943.06,2417.18,0.0,-474.12
2023-01-02,B002,4992.65,3348.79,1500.0,143.86
2023-01-09,B002,5152.82,3089.8,0.0,2063.02
2023-01-16,B002,5512.66,3169.6,0.0,2343.06
2023-01-23,B002,4649.03,2946.69,0.0,1702.35
2023-01-30,B002,5075.77,3021.31,0.0,2054.46
2023-02-06,B002,4886.3,2870.52,1500.0,515.78
2023-02-13,B002,4972.78,3209.92,0.0,1762.86
2023-02-20,B002,5516.48,2778.34,0.0,2738.14
2023-02-27,B002,5471.05,3172.47,0.0,2298.58
2023-03-06,B002,5866.1,2979.87,1500.0,1386.23
2023-03-13,B002,5395.92,3254.25,0.0,2141.67
2023-03-20,B002,5164.42,3172.17,0.0,1992.25
2023-03-27,B002,5224.26,3388.13,0.0,1836.13
2023-04-03,B002,5279.73,3172.15,1500.0,607.58
2023-04-10,B002,5185.93,2713.59,0.0,2472.34
2023-04-17,B002,4713.04,3016.61,0.0,1696.43
2023-04-24,B002,5116.12,2797.6,0.0,2318.52
2023-05-01,B002,5165.75,2930.34,1500.0,735.41
2023-05-08,B002,5971.25,3338.25,0.0,2633.0
2023-05-15,B002,5751.91,3165.51,0.0,2586.4
2023-05-22,B002,4801.37,2900.21,0.0,1901.15
2023-05-29,B002,5004.42,2839.26,0.0,2165.16
2023-06-05,B002,4597.8,3050.56,1500.0,47.24
2023-06-12,B002,4908.25,2802.69,0.0,2105.56
2023-06-19,B002,5230.46,2913.77,0.0,2316.69
2023-06-26,B002,5547.05,3112.4,0.0,2434.65
2023-07-03,B002,4874.82,3283.06,1500.0,91.76
2023-07-10,B002,4906.05,3175.75,0.0,1730.3
2023-07-17,B002,4388.45,2597.74,0.0,1790.71
2023-07-24,B002,5088.08,3118.87,0.0,1969.2
2023-07-31,B002,4778.21,3074.41,0.0,1703.8
2023-08-07,B002,4969.9,3144.78,1500.0,325.12
2023-08-14,B002,4853.82,3387.24,0.0,1466.58
2023-08-21,B002,5134.33,2653.35,0.0,2480.98
2023-08-28,B002,4561.46,2949.78,0.0,1611.68
2023-09-04,B002,4678.67,3188.18,1500.0,-9.51
2023-09-11,B002,5964.67,2755.68,0.0,3208.99
2023-09-18,B002,4815.6,3369.19,0.0,1446.41
2023-09-25,B002,4955.74,3149.67,0.0,1806.07
2023-10-02,B002,6084.59,3247.32,1500.0,1337.27
2023-10-09,B002,6580.69,2965.81,0.0,3614.88
2023-10-16,B002,5275.39,3244.75,0.0,2030.64
2023-10-23,B002,5648.69,3297.69,0.0,2350.99
2023-10-30,B002,5934.54,3132.58,0.0,2801.97
2023-11-06,B002,6392.62,3134.88,1500.0,1757.74
2023-11-13,B002,5360.04,3144.07,0.0,2215.97
2023-11-20,B002,5508.07,2919.33,0.0,2588.74
2023-11-27,B002,5753.74,3064.49,0.0,2689.24
2023-12-04,B002,5541.78,3065.5,1500.0,976.28
2023-12-11,B002,5194.55,3174.68,0.0,2019.87
